Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-08-22,96.01586899027745,96.57707674395864,95.53206436595981,95.80299377441406,328100,0.0,0
2014-08-25,96.27710248972168,96.42224532671322,95.45463625646477,95.54171752929688,219900,0.0,0
2014-08-26,95.57074308087364,96.82863780484415,95.36754606526695,96.23839569091797,373400,0.0,0
2014-08-27,96.52870234222958,97.74788470087789,96.52870234222958,97.69950866699219,500700,0.0,0
2014-08-28,97.35113854426633,98.40582877246435,96.29644093379778,97.912353515625,482900,0.0,0
2014-08-29,97.92203040231519,98.7251476650171,97.57369056264378,98.60903930664062,226500,0.0,0
2014-09-02,98.81223014822748,99.33473987511962,97.39952194541712,97.912353515625,640800,0.0,0
2014-09-03,98.76386582752016,98.99608995691268,97.00281746656027,97.3705062866211,480300,0.0,0
2014-09-04,97.43823675412496,98.73483683131172,96.2384034960695,96.45127868652344,839800,0.0,0
2014-09-05,96.47061985990626,98.09620336809108,96.04487689552134,98.08653259277344,544000,0.0,0
2014-09-08,97.63177243217572,99.55731272591132,97.63177243217572,99.43152618408203,667600,0.0,0
2014-09-09,99.63470849794881,99.80887842825007,97.92203628627448,98.22200012207031,538900,0.0,0
2014-09-10,98.03815833066922,99.1605884829844,98.03815833066922,98.58001708984375,382400,0.0,0
2014-09-11,98.35748199820466,99.53796646747982,98.13492862191806,99.35411834716797,207700,0.0,0
2014-09-12,99.63471839433114,99.64439655316237,97.67047294110866,98.48326110839844,406600,0.0,0
2014-09-15,98.54131247440968,98.56066879151771,96.76091517861374,97.3705062866211,378500,0.0,0
2014-09-16,96.59639287538769,98.57031580725256,95.82230284562003,98.36711883544922,492800,0.0,0
2014-09-17,98.84125728799867,101.53120903053674,98.49291746988735,100.63133239746094,818300,0.0,0
2014-09-18,100.72813179295675,101.37642828528897,100.27335421758912,101.33773040771484,379900,0.0,0
2014-09-19,102.11177133845938,102.2665923139888,100.8151788886175,101.22157287597656,927400,0.0,0
2014-09-22,101.21190948418227,101.2893199832396,100.07980861898724,100.3700942993164,528300,0.0,0
2014-09-23,99.79920147593518,100.63134588828541,98.93802997189599,98.94770812988281,595000,0.0,0
2014-09-24,98.69612898743735,100.20559683315358,97.97042215664737,100.09915924072266,464300,0.0,0
2014-09-25,99.63469076609212,99.7314501807568,97.09955276116484,98.17359924316406,677000,0.0,0
2014-09-26,98.08652876368701,98.94770019869873,97.8059212627335,98.62838745117188,296200,0.0,0
2014-09-29,97.4479082163816,99.17992933155647,97.35114878617094,99.02510833740234,513800,0.0,0
2014-09-30,99.3444041447033,99.57663559629644,97.44789158364634,98.5316162109375,693200,0.0,0
2014-10-01,98.24105189535864,98.41539301010526,95.44191377880755,95.79059600830078,1045600,0.1,0
2014-10-02,95.4709916925566,95.7228194481106,89.15598157514889,92.58467864990234,2107700,0.0,0
2014-10-03,93.30140289211964,93.75662735406368,90.59911913274073,91.42239379882812,1222700,0.0,0
2014-10-06,91.90667245410681,91.90667245410681,89.18502078506181,90.11483764648438,830500,0.0,0
2014-10-07,89.25280957394162,90.20199427936733,88.89443969726562,88.89443969726562,717500,0.0,0
2014-10-08,88.8653938235711,89.39810486224819,84.74901318324218,89.18502044677734,1491800,0.0,0
2014-10-09,88.81699704313746,89.50468151756272,84.28413349788248,84.41973876953125,1000200,0.0,0
2014-10-10,84.23564902212607,84.91363794268563,79.00542449794153,79.42190551757812,2546000,0.0,0
2014-10-13,79.218540907576,81.20408491551107,76.72934144947648,76.7874526977539,1548100,0.0,0
2014-10-14,77.2136171012271,79.36382183774073,75.18932252522436,77.45575714111328,1485100,0.0,0
2014-10-15,75.63486777677566,79.28634412506057,75.52833294566797,77.83350372314453,1513200,0.0,0
2014-10-16,76.1288383825302,83.17027592760482,76.1288383825302,82.72473907470703,1736000,0.0,0
2014-10-17,87.17040549316428,87.17040549316428,84.32283654907233,85.01051330566406,1980900,0.0,0
2014-10-20,85.19455203157248,87.20915896729306,85.19455203157248,86.87984466552734,1001200,0.0,0
2014-10-21,88.6717088252609,91.73235588983235,88.03245540527922,90.07611846923828,1291100,0.0,0
2014-10-22,90.57974293101228,90.57974293101228,86.59896747093366,86.6861343383789,731100,0.0,0
2014-10-23,88.0808730417707,90.24075829895018,86.39557285680408,89.20439910888672,689200,0.0,0
2014-10-24,89.21408229896608,89.75647365656627,88.30363332911317,89.64025115966797,389500,0.0,0
2014-10-27,88.39078793200228,88.39078793200228,85.13642573115946,85.7659912109375,1304400,0.0,0
2014-10-28,85.93066901518458,87.65470512707205,85.36890228066237,87.12199401855469,961800,0.0,0
2014-10-29,87.58691184012075,91.80014784113509,85.11708001735599,86.36652374267578,1171500,0.0,0
2014-10-30,85.368899931533,86.26966126053942,83.48989067995373,84.09040069580078,1136000,0.0,0
2014-10-31,85.04927123461799,85.30109896290246,81.92082583710139,84.68122100830078,1739600,0.0,0
2014-11-03,85.33014701124844,86.09531040998301,83.88699446909207,84.03227996826172,1094300,0.0,0
2014-11-04,83.29618718337665,83.29618718337665,78.22093319615524,79.76094055175781,2123500,0.0,0
2014-11-05,80.4679824800395,80.74886582230644,78.68582788519738,80.02244567871094,1267700,0.0,0
2014-11-06,80.19679024363639,82.45352997035626,79.66407915970551,82.31793212890625,863900,0.0,0
2014-11-07,82.54069619973524,84.48750414752851,82.27918082415913,83.79981994628906,780500,0.0,0
2014-11-10,84.19696050050626,85.57231457069786,83.73204823153159,85.12677764892578,902400,0.0,0
2014-11-11,84.72966223619514,85.77570179280498,84.29380564720613,85.53356170654297,516500,0.0,0
2014-11-12,84.83618433908978,86.15342680175614,84.72964951549555,84.75870513916016,577700,0.0,0
2014-11-13,84.82650380074887,85.20424168630086,81.94019116318121,82.2985610961914,808800,0.0,0
2014-11-14,82.11453828806381,84.17757638692943,81.40749343099586,83.63517761230469,523600,0.0,0
2014-11-17,83.51894975608195,83.82888872620303,82.65692437498201,83.50926208496094,677100,0.0,0
2014-11-18,83.73202559328892,84.49718903126174,83.31554441539302,84.01290893554688,681000,0.0,0
2014-11-19,84.10007742426998,85.51417431997683,82.94748851091191,85.13643646240234,625000,0.0,0
2014-11-20,85.94035294899803,89.08817371443496,84.61342276610678,89.0009994506836,1006300,0.0,0
2014-11-21,90.28917342292637,91.27710147045542,89.61117692132315,90.22137451171875,1050000,0.0,0
2014-11-24,90.6088203370085,90.6088203370085,89.05911792287436,89.60151672363281,530100,0.0,0
2014-11-25,89.73710128026354,90.57006361810711,88.77822878047716,89.01068115234375,802000,0.0,0
2014-11-26,89.13660116954772,89.13660116954772,86.87985394914288,87.12199401855469,760200,0.0,0
2014-11-28,86.0275091992602,86.2018503157045,79.57690266987512,79.79966735839844,1257600,0.0,0
2014-12-01,79.65440539387357,79.65440539387357,77.14583749959017,77.38797760009766,1754800,0.0,0
2014-12-02,77.3782728517721,77.94003953447022,76.08040574642936,77.79475402832031,1535000,0.0,0
2014-12-03,77.88192750319864,81.57213941877883,77.88192750319864,81.40748596191406,1320900,0.0,0
2014-12-04,80.78759978025285,80.92319760022436,79.22821746105352,80.24520111083984,939300,0.0,0
2014-12-05,78.97637720785909,80.0514793162696,78.50178491345628,78.68580627441406,794800,0.0,0
2014-12-08,77.68822172593612,77.96910510311314,75.86733099990742,76.55500793457031,600100,0.0,0
2014-12-09,75.76075741622842,78.41460950314304,75.24742184575312,78.30806732177734,847400,0.0,0
2014-12-10,76.768098236804,77.38797629246667,73.19410804905412,73.57184600830078,1174200,0.0,0
2014-12-11,74.0464237661678,74.85033049948761,73.10692658657825,73.20378112792969,781100,0.0,0
2014-12-12,72.17709014455278,72.61294659152927,70.35619994938278,70.39494323730469,1091900,0.0,0
2014-12-15,70.87925258477661,71.85750068844573,68.1479124669179,68.57408142089844,1093100,0.0,0
2014-12-16,68.42878076002599,71.34414908017922,67.9541883231032,69.92036437988281,1146600,0.0,0
2014-12-17,70.40529966306177,74.86686219934309,69.87185711617757,74.70197296142578,1270400,0.1,0
2014-12-18,76.57389532941885,76.7872753306557,73.87756418603264,75.07054901123047,1016500,0.0,0
