Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-04,51.44400520054623,51.549910930886114,51.09318950191588,51.46385955810547,700418,0.0,0.0
2014-09-05,51.49032929020484,52.19196059616158,51.49032929020484,52.1787223815918,771035,0.0,0.0
2014-09-08,52.21843338823834,52.21843338823834,51.66904455497866,51.92719268798828,778320,0.0,0.0
2014-09-09,51.92719955014913,51.92719955014913,51.530047154475895,51.54328536987305,842123,0.0,0.0
2014-09-10,51.49032691655847,51.60285470209333,50.960798358177804,51.17922592163086,909450,0.0,0.0
2014-09-11,51.299442749762136,51.660092913118106,51.03897019374505,51.58662414550781,611235,0.587234,0.0
2014-09-12,51.37290758228608,51.419661524848706,50.304308475803744,50.47127914428711,1515280,0.0,0.0
2014-09-15,50.68500315839639,50.985547998754036,50.5915012505143,50.785186767578125,579158,0.0,0.0
2014-09-16,50.78517035490176,51.586615020595715,50.705019901146756,51.35953903198242,685730,0.0,0.0
2014-09-17,51.38626935494674,51.5999879969338,50.8386153348549,51.15251159667969,642255,0.0,0.0
2014-09-18,51.16586816949809,51.46641299843845,50.35774157419441,50.59149932861328,875493,0.0,0.0
2014-09-19,50.79186110539337,51.038976277408075,50.62489042367738,50.958831787109375,1404125,0.0,0.0
2014-09-22,50.8586509582078,51.105766143718306,50.50467644646305,50.62489318847656,1108848,0.0,0.0
2014-09-23,50.524712903849576,50.79186120537111,50.36442392293665,50.66496276855469,1099095,0.0,0.0
2014-09-24,50.7851810159028,50.7851810159028,50.24420275940255,50.59817123413086,1012380,0.0,0.0
2014-09-25,50.67163137403442,50.885349960017905,50.290942149158425,50.3443717956543,1302488,0.0,0.0
2014-09-26,50.43121770774102,50.618221543685294,49.836806670587116,50.41117858886719,697833,0.0,0.0
2014-09-29,50.2508927231535,50.77851371538017,50.12399725512799,50.73176574707031,789365,0.0,0.0
2014-09-30,50.79852460877826,51.2994304872976,50.56476693555317,50.81188201904297,1165718,0.0,0.0
2014-10-01,50.9054004734374,51.566595490518964,50.81189857112597,50.945472717285156,980773,0.0,0.0
2014-10-02,50.88535971094144,51.392947437104716,50.79853951234163,50.93878936767578,1071835,0.0,0.0
2014-10-03,51.032285393289314,51.39961723465258,50.66495355192605,51.33951187133789,1011323,0.0,0.0
2014-10-06,51.37290838701621,51.67345320011938,51.085720988113465,51.3261604309082,721450,0.0,0.0
2014-10-07,51.20593951530965,51.89385535158586,51.17922468597003,51.439697265625,991113,0.0,0.0
2014-10-08,51.3929513672243,52.92238438898416,51.3929513672243,52.82887649536133,1992918,0.0,0.0
2014-10-09,52.95578312616539,53.56354860561616,51.96065254583899,52.00740051269531,2310520,0.0,0.0
2014-10-10,52.28121181733876,53.00251807860099,52.18770992995854,52.581756591796875,1820075,0.0,0.0
2014-10-13,52.54836949224231,53.3498203721527,52.38808051369769,52.6953010559082,1515750,0.0,0.0
2014-10-14,53.01589051173308,53.56354457869481,52.6418768690591,53.10271072387695,2504160,0.0,0.0
2014-10-15,53.13609903923318,53.596932822770874,50.99221909196006,52.027427673339844,1985985,0.0,0.0
2014-10-16,51.62670092823765,51.90721262271524,51.045650398113956,51.346195220947266,3021865,0.0,0.0
2014-10-17,51.45973306790418,51.7068422297916,50.59817089639349,51.41297912597656,3408793,0.0,0.0
