,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,earn_dt,1_prior,3_prior,5_prior,est_hit_rate,valid_data_pct,last_4_est_cnt,est_wl_pct_diff,opt_str,opt_sr,opt_mean,opt_std,opt_max,opt_min,mkt_hit_rate,net_hit_rate,valid_market_data,valid_est_signal,link,past_pnl_data
10,10.0,10.0,10.0,IPG,2022-02-07 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,88,100.0,9.25,10.5,open-close,0.6129334442661742,3.56,5.8081346895047625,11.57,-7.22,71.0,62.0,100,88,https://www.estimize.com/ipg,"[7.44, 6.36, 3.72, -7.22, 5.03, 11.57, -1.98]"
11,11.0,11.0,11.0,CROX,2022-02-20 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,88,100.0,10.0,21.0,close-close,0.5739303328055261,5.53125,9.637493758104334,16.52,-16.0,88.0,77.0,100,100,https://www.estimize.com/crox,"[-16.0, 16.52, 0.45, 4.94, 3.76, 15.3, 9.96, 9.32]"
12,12.0,12.0,12.0,AN,2022-02-14 07:30:00,2022-02-11 07:30:00,2022-02-09 07:30:00,2022-02-07 07:30:00,100,100.0,12.75,10.125,close-open,1.823770525901798,5.952499999999999,3.263842635606073,9.76,1.53,100.0,100.0,100,100,https://www.estimize.com/an,"[9.76, 8.61, 6.98, 7.5, 2.18, 1.92, 1.53, 9.14]"
13,13.0,13.0,13.0,CMG,2022-01-30 18:00:00,2022-01-28 18:00:00,2022-01-26 18:00:00,2022-01-24 18:00:00,38,100.0,45.25,4.875,close-close,0.6416954245670934,0.935,1.457077554559125,2.73,-1.5,75.0,28.0,100,100,https://www.estimize.com/cmg,"[2.02, 2.73, 1.91, -1.35, 0.93, 1.6, -1.5, 1.14]"
14,14.0,14.0,14.0,WHR,2022-01-26 15:00:00,2022-01-25 15:00:00,2022-01-21 15:00:00,2022-01-19 15:00:00,75,100.0,12.25,3.375,open-close,-0.17924712817369612,-0.5716666666666665,3.189265415246729,3.14,-6.42,50.0,38.0,100,75,https://www.estimize.com/whr,"[-1.53, -6.42, 2.18, -1.9, 3.14, 1.1]"
15,15.0,15.0,15.0,BJRI,2022-02-08 18:00:00,2022-02-07 18:00:00,2022-02-03 18:00:00,2022-02-01 18:00:00,50,100.0,10.25,20.875,close-open,0.7864140979441685,0.6033333333333334,0.7671954698047225,1.91,-0.15,67.0,34.0,100,75,https://www.estimize.com/bjri,"[1.91, 0.0, 0.09, -0.15, 1.37, 0.4]"
16,16.0,16.0,16.0,VFC,2022-01-24 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,2022-01-17 18:00:00,50,100.0,15.75,10.875,open-open,-0.5464322883474234,-1.91,3.4954010601687138,3.24,-7.2,29.0,14.0,100,88,https://www.estimize.com/vfc,"[-7.2, 1.83, 3.24, -2.0, -5.11, -0.23, -3.9]"
17,17.0,17.0,17.0,ALV,2022-01-24 00:00:00,2022-01-21 00:00:00,2022-01-19 00:00:00,2022-01-17 00:00:00,38,100.0,9.0,8.875,open-open,0.24870196352937826,1.1525,4.63406071928282,10.76,-3.73,50.0,19.0,100,100,https://www.estimize.com/alv,"[-2.43, 10.76, -1.84, -3.01, 4.77, 2.89, -3.73, 1.81]"
18,18.0,18.0,18.0,GNTX,2022-01-26 15:00:00,2022-01-25 15:00:00,2022-01-21 15:00:00,2022-01-19 15:00:00,12,100.0,4.5,9.25,close-close,-0.3002137206902405,-0.9485714285714284,3.159653817255612,3.87,-6.78,43.0,5.0,100,88,https://www.estimize.com/gntx,"[3.87, 0.04, -3.15, -1.49, -0.73, 1.6, -6.78]"
19,19.0,19.0,19.0,DORM,2022-02-21 07:30:00,2022-02-18 07:30:00,2022-02-16 07:30:00,2022-02-14 07:30:00,38,100.0,5.5,9.375,open-open,0.21288652263373475,1.105,5.1905587367835455,10.74,-7.83,62.0,24.0,100,100,https://www.estimize.com/dorm,"[10.74, -7.83, 1.51, 2.76, 5.43, -1.39, 0.31, -2.69]"
20,20.0,20.0,20.0,QSR,2022-02-08 18:00:00,2022-02-07 18:00:00,2022-02-03 18:00:00,2022-02-01 18:00:00,75,100.0,6.0,6.75,close-open,-0.11194402078477687,-0.25249999999999995,2.2555916629567507,3.31,-4.1,50.0,38.0,100,100,https://www.estimize.com/qsr,"[2.19, -4.1, -1.78, -0.74, -2.03, 0.27, 3.31, 0.86]"
21,21.0,21.0,21.0,PETS,2022-01-16 18:00:00,2022-01-14 18:00:00,2022-01-12 18:00:00,2022-01-10 18:00:00,50,100.0,5.25,5.5,open-close,0.08397956403258691,0.8933333333333332,10.637508584668165,21.19,-14.08,50.0,25.0,100,75,https://www.estimize.com/pets,"[4.22, -2.7, 21.19, -3.37, -14.08, 0.1]"
22,22.0,22.0,22.0,PII,2022-01-25 07:30:00,2022-01-24 07:30:00,2022-01-20 07:30:00,2022-01-18 07:30:00,75,100.0,19.0,7.5,open-open,0.3547871021731279,2.11625,5.964844795759567,8.97,-7.01,62.0,46.0,100,100,https://www.estimize.com/pii,"[8.65, 6.85, 8.97, 0.15, 6.36, -4.91, -2.13, -7.01]"
23,23.0,23.0,23.0,HAS,2022-02-07 07:30:00,2022-02-04 07:30:00,2022-02-02 07:30:00,2022-01-31 07:30:00,75,100.0,9.75,9.25,close-open,0.9058959124446572,2.905,3.20677018197438,6.93,-3.29,75.0,56.0,100,100,https://www.estimize.com/has,"[6.93, 2.5, -3.29, 5.41, 2.4, -0.28, 6.16, 3.41]"
24,24.0,24.0,24.0,HZO,2022-01-25 18:00:00,2022-01-24 18:00:00,2022-01-20 18:00:00,2022-01-18 18:00:00,88,100.0,15.5,26.625,open-open,0.7849063295750194,7.371428571428572,9.391475509465913,26.49,-3.22,71.0,62.0,100,88,https://www.estimize.com/hzo,"[26.49, 5.74, -1.91, -3.22, 13.71, 4.19, 6.6]"
25,25.0,25.0,25.0,PHM,2022-02-01 07:30:00,2022-01-31 07:30:00,2022-01-27 07:30:00,2022-01-25 07:30:00,62,100.0,8.5,3.25,open-open,0.3454538124235821,1.92,5.557906530340358,10.43,-6.7,62.0,38.0,100,100,https://www.estimize.com/phm,"[4.54, 6.34, 10.43, -5.91, -6.7, 3.24, 4.04, -0.62]"
26,26.0,26.0,26.0,AAN,2022-02-20 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,88,100.0,7.25,15.25,open-open,1.1285870028408156,7.979999999999999,7.070788499170373,17.48,-1.87,75.0,66.0,50,100,https://www.estimize.com/aan,"[5.64, 17.48, 10.67, -1.87]"
27,27.0,27.0,27.0,ABG,2022-01-31 07:30:00,2022-01-28 07:30:00,2022-01-26 07:30:00,2022-01-24 07:30:00,88,100.0,5.75,3.25,close-open,0.36904758247261743,0.89625,2.428548627781622,4.71,-1.54,50.0,44.0,100,100,https://www.estimize.com/abg,"[4.47, 4.71, -1.13, -1.54, 0.38, -0.45, -1.53, 2.26]"
28,28.0,28.0,28.0,DAN,2022-02-16 07:30:00,2022-02-15 07:30:00,2022-02-11 07:30:00,2022-02-09 07:30:00,62,100.0,6.0,10.125,open-open,0.22069085821167145,1.2657142857142856,5.735236592810294,12.77,-6.05,57.0,35.0,100,88,https://www.estimize.com/dan,"[1.81, 12.77, -1.74, -3.68, 4.52, 1.23, -6.05]"
29,29.0,29.0,29.0,BYD,2022-02-13 18:00:00,2022-02-11 18:00:00,2022-02-09 18:00:00,2022-02-07 18:00:00,50,100.0,13.5,11.75,open-close,0.9273413810054704,2.17375,2.344066645276964,7.38,-0.73,88.0,44.0,100,100,https://www.estimize.com/byd,"[3.52, 7.38, -0.73, 1.9, 2.0, 2.53, 0.55, 0.24]"
30,30.0,30.0,30.0,MCD,2022-01-26 07:30:00,2022-01-25 07:30:00,2022-01-21 07:30:00,2022-01-19 07:30:00,38,100.0,39.5,2.75,close-close,0.20172075829362665,0.345,1.7102850639586369,2.67,-2.49,50.0,19.0,100,100,https://www.estimize.com/mcd,"[1.93, -0.14, -2.49, 1.54, -0.09, 1.2, -1.86, 2.67]"
31,31.0,31.0,31.0,GM,2022-02-07 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,100,100.0,31.5,21.0,close-open,0.3802895383295592,1.5075000000000005,3.964084856558951,8.42,-4.58,62.0,62.0,100,100,https://www.estimize.com/gm,"[1.54, 8.42, 2.7, 4.71, -0.8, 3.16, -4.58, -3.09]"
32,32.0,32.0,32.0,HOG,2022-01-31 08:30:00,2022-01-28 08:30:00,2022-01-26 08:30:00,2022-01-24 08:30:00,25,100.0,14.25,22.25,open-close,-0.37603601940415465,-4.9750000000000005,13.230115582765455,19.89,-20.0,17.0,4.0,100,75,https://www.estimize.com/hog,"[-2.45, 19.89, -20.0, -17.92, -8.69, -0.68]"
33,33.0,33.0,33.0,GRMN,2022-02-14 18:00:00,2022-02-11 18:00:00,2022-02-09 18:00:00,2022-02-07 18:00:00,100,100.0,17.25,12.75,close-open,0.6082930734026534,1.6387500000000002,2.694013908186073,6.95,-1.7,62.0,62.0,100,100,https://www.estimize.com/grmn,"[6.95, 3.18, 3.78, 1.53, -0.21, -1.7, 0.65, -1.07]"
34,34.0,34.0,34.0,HLT,2022-02-15 07:30:00,2022-02-14 07:30:00,2022-02-10 07:30:00,2022-02-08 07:30:00,38,100.0,12.25,26.25,open-close,0.34340246447533745,1.0414285714285711,3.0326764632272014,4.89,-4.33,57.0,22.0,100,88,https://www.estimize.com/hlt,"[2.28, -0.81, 3.88, 4.89, -1.24, -4.33, 2.62]"
35,35.0,35.0,35.0,TNL,2022-02-22 07:30:00,2022-02-21 07:30:00,2022-02-17 07:30:00,2022-02-15 07:30:00,88,100.0,9.0,14.25,close-open,0.5253692356988818,0.9725,1.8510790771871413,4.06,-1.49,62.0,55.0,100,100,https://www.estimize.com/tnl,"[1.4, 0.59, 4.06, -1.49, 0.22, 3.67, -0.67, -0.0]"
36,36.0,36.0,36.0,MNRO,2022-01-24 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,2022-01-17 18:00:00,50,100.0,11.75,9.875,close-close,-0.2063223183559056,-1.3242857142857145,6.418528663493031,6.17,-11.04,43.0,22.0,100,88,https://www.estimize.com/mnro,"[-7.21, -1.54, -5.8, 4.3, 5.85, -11.04, 6.17]"
37,37.0,37.0,37.0,SIX,2022-02-21 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,38,100.0,6.25,15.625,close-open,-0.5206312989050969,-4.365714285714286,8.385424185782744,6.25,-20.04,29.0,11.0,100,88,https://www.estimize.com/six,"[-20.04, -2.29, -8.59, 5.75, -7.42, 6.25, -4.22]"
38,38.0,38.0,38.0,PAG,2022-02-07 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,88,100.0,9.25,7.75,close-open,0.8351708648198783,1.2300000000000002,1.4727525250360294,4.94,-0.31,88.0,77.0,100,100,https://www.estimize.com/pag,"[4.94, 1.36, 1.01, 0.55, 0.84, -0.31, 0.84, 0.61]"
39,39.0,39.0,39.0,MHO,2022-01-30 18:00:00,2022-01-28 18:00:00,2022-01-26 18:00:00,2022-01-24 18:00:00,62,100.0,3.75,8.5,close-close,0.5269069584998258,3.822857142857144,7.255279288285212,17.98,-6.76,71.0,44.0,100,88,https://www.estimize.com/mho,"[-1.79, 17.98, 3.89, 1.33, 8.1, 4.01, -6.76]"
40,40.0,40.0,40.0,F,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,62,100.0,38.75,97.75,open-open,0.5093176451052701,2.33625,4.587019559310819,11.81,-4.4,62.0,38.0,100,100,https://www.estimize.com/f,"[2.6, 11.81, -4.4, 4.12, 4.4, 2.52, -0.5, -1.86]"
41,41.0,41.0,41.0,IRBT,2022-02-07 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,88,100.0,17.0,44.625,open-open,1.3957870929614775,1.86125,1.3334770104879952,3.97,-0.28,88.0,77.0,100,100,https://www.estimize.com/irbt,"[2.81, 3.09, 3.97, 1.98, 1.6, 0.27, 1.45, -0.28]"
42,42.0,42.0,42.0,ORLY,2022-02-07 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,62,100.0,8.75,2.5,close-open,0.4140448000055307,0.23625,0.5705904288541825,1.17,-0.74,62.0,38.0,100,100,https://www.estimize.com/orly,"[0.72, 1.17, -0.16, -0.74, 0.75, 0.16, 0.03, -0.04]"
43,43.0,43.0,43.0,ALSN,2022-02-14 18:00:00,2022-02-11 18:00:00,2022-02-09 18:00:00,2022-02-07 18:00:00,62,100.0,9.5,13.25,open-close,-0.6433226098034349,-1.72125,2.6755627328657425,2.81,-6.08,25.0,16.0,100,100,https://www.estimize.com/alsn,"[1.5, -1.54, 2.81, -4.23, -2.28, -2.52, -1.43, -6.08]"
44,44.0,44.0,44.0,CHDN,2022-02-21 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,62,100.0,11.5,20.25,close-open,0.2866330114065754,0.3714285714285713,1.2958331966226933,2.94,-1.65,71.0,44.0,100,88,https://www.estimize.com/chdn,"[0.43, -1.65, 2.94, 0.87, 0.24, 0.29, -0.52]"
45,45.0,45.0,45.0,JAKK,2022-02-14 18:00:00,2022-02-11 18:00:00,2022-02-09 18:00:00,2022-02-07 18:00:00,75,100.0,9.5,12.875,close-close,0.4169081597558768,2.345,5.624739993990834,10.61,-9.38,62.0,46.0,100,100,https://www.estimize.com/jakk,"[-9.38, 10.61, 5.11, 4.17, -1.03, -0.27, 6.55, 3.0]"
46,46.0,46.0,46.0,SNBR,2022-02-14 18:00:00,2022-02-11 18:00:00,2022-02-09 18:00:00,2022-02-07 18:00:00,62,100.0,6.75,9.125,close-close,0.700035980213727,2.34125,3.3444709503148617,7.66,-2.04,62.0,38.0,100,100,https://www.estimize.com/snbr,"[-0.53, 7.66, 3.67, 2.43, -2.04, 4.16, 5.42, -2.04]"
47,47.0,47.0,47.0,YUMC,2022-01-31 18:00:00,2022-01-28 18:00:00,2022-01-26 18:00:00,2022-01-24 18:00:00,62,100.0,3.75,17.0,close-open,-0.02826125293390005,-0.03374999999999995,1.194214569288116,1.94,-1.7,50.0,31.0,100,100,https://www.estimize.com/yumc,"[1.29, -1.7, -0.74, -1.41, 0.02, 0.67, 1.94, -0.34]"
48,48.0,48.0,48.0,CCS,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,100,100.0,4.0,6.375,close-open,0.2150907880605392,0.36625,1.7027693435988331,4.07,-2.52,75.0,75.0,100,100,https://www.estimize.com/ccs,"[0.69, 4.07, -0.59, -2.52, 0.21, 0.15, 0.32, 0.6]"
49,49.0,49.0,49.0,YUM,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,75,100.0,12.0,5.0,close-open,0.9624997709598642,1.6862500000000002,1.7519484688483278,4.48,-1.11,75.0,56.0,100,100,https://www.estimize.com/yum,"[4.48, 2.56, 1.77, 2.37, 0.68, -0.43, 3.17, -1.11]"
50,50.0,50.0,50.0,CMCSA,2022-01-25 18:00:00,2022-01-24 18:00:00,2022-01-20 18:00:00,2022-01-18 18:00:00,100,100.0,25.25,8.5,close-close,0.1753480240336983,0.5975,3.4075091709341003,6.57,-3.77,50.0,50.0,100,100,https://www.estimize.com/cmcsa,"[-3.77, -3.51, -0.52, 2.57, 6.57, 4.25, 0.22, -1.03]"
51,51.0,51.0,51.0,SIRI,2022-01-30 18:00:00,2022-01-28 18:00:00,2022-01-26 18:00:00,2022-01-24 18:00:00,38,100.0,15.25,11.375,close-open,0.6578719756421603,1.0699999999999998,1.626456270546491,2.71,-1.74,80.0,30.0,100,62,https://www.estimize.com/siri,"[2.71, 2.56, 0.48, -1.74, 1.34]"
52,52.0,52.0,52.0,IMAX,2022-03-01 18:00:00,2022-02-28 18:00:00,2022-02-24 18:00:00,2022-02-22 18:00:00,38,100.0,9.0,13.875,open-open,-0.6175942565071935,-0.98375,1.5928742692064557,1.27,-3.06,38.0,14.0,100,100,https://www.estimize.com/imax,"[-3.06, -2.79, 1.27, -1.5, 0.05, -0.51, 1.05, -2.38]"
53,53.0,53.0,53.0,BC,2022-01-25 18:00:00,2022-01-24 18:00:00,2022-01-20 18:00:00,2022-01-18 18:00:00,75,100.0,12.75,8.25,close-close,0.002770813765966677,0.008571428571428643,3.0934697512729645,3.74,-4.42,57.0,43.0,100,88,https://www.estimize.com/bc,"[-0.02, -4.42, 1.26, -4.32, 0.19, 3.63, 3.74]"
54,54.0,54.0,54.0,OSTK,2022-02-21 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,75,100.0,16.25,345.625,close-open,0.8908208000561506,9.1125,10.229330073372353,20.2,-9.14,75.0,56.0,100,100,https://www.estimize.com/ostk,"[15.54, 20.2, 15.25, 13.93, -9.14, 15.55, -6.24, 7.81]"
55,55.0,55.0,55.0,TPX,2022-02-08 18:00:00,2022-02-07 18:00:00,2022-02-03 18:00:00,2022-02-01 18:00:00,75,100.0,6.25,153.5,open-open,0.5783676389874303,3.905,6.7517608814293775,15.58,-5.52,62.0,46.0,100,100,https://www.estimize.com/tpx,"[7.02, -3.67, 10.21, 5.71, 15.58, -5.52, 3.41, -1.5]"
56,56.0,56.0,56.0,LKQ,2022-02-15 18:00:00,2022-02-14 18:00:00,2022-02-10 18:00:00,2022-02-08 18:00:00,62,100.0,5.75,5.75,close-close,0.6868074321470075,1.9233333333333336,2.8003967972810964,4.98,-3.36,83.0,51.0,100,75,https://www.estimize.com/lkq,"[0.06, -3.36, 4.98, 2.79, 3.1, 3.97]"
57,57.0,57.0,57.0,STLA,,,,,62,100.0,6.0,34.75,close-open,-0.11171300506486112,-0.5125,4.5876484989589175,4.59,-11.41,62.0,38.0,100,100,https://www.estimize.com/stla,"[-11.41, 4.59, 0.61, -0.75, 2.28, 2.05, 1.24, -2.71]"
58,58.0,58.0,58.0,THRM,2022-02-27 18:00:00,2022-02-25 18:00:00,2022-02-23 18:00:00,2022-02-21 18:00:00,75,100.0,5.0,23.0,open-open,0.577293124851345,2.4275,4.2049695302106525,6.89,-6.87,75.0,56.0,100,100,https://www.estimize.com/thrm,"[5.54, -0.61, 5.0, 1.69, 5.43, 2.35, 6.89, -6.87]"
59,59.0,59.0,59.0,GPI,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,88,100.0,4.75,6.75,open-open,0.6188384929789478,2.9225,4.722556908074269,10.45,-3.36,62.0,55.0,100,100,https://www.estimize.com/gpi,"[2.24, 10.45, 10.38, 0.83, -3.36, 3.54, -0.23, -0.47]"
60,60.0,60.0,60.0,SBUX,2022-01-23 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,2022-01-17 18:00:00,88,100.0,53.0,7.0,close-close,-0.14838305045260275,-0.16749999999999998,1.1288351296801495,1.3,-2.38,38.0,33.0,100,100,https://www.estimize.com/sbux,"[-0.15, -1.22, -2.38, 1.3, 1.2, 0.2, -0.02, -0.27]"
61,61.0,61.0,61.0,AMZN,2022-01-30 18:00:00,2022-01-28 18:00:00,2022-01-26 18:00:00,2022-01-24 18:00:00,75,100.0,234.75,20.75,close-close,0.8445574179399206,1.1625,1.3764605878847385,4.27,-0.84,88.0,66.0,100,100,https://www.estimize.com/amzn,"[0.68, 4.27, 0.6, 1.52, 1.11, 0.37, -0.84, 1.59]"
62,62.0,62.0,62.0,DECK,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,88,100.0,14.25,64.0,open-close,0.38376905195500577,1.15,2.9965938997468435,7.29,-4.55,88.0,77.0,100,100,https://www.estimize.com/deck,"[0.72, 7.29, 0.92, 0.69, 0.69, -4.55, 2.13, 1.31]"
63,63.0,63.0,63.0,SKX,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,38,100.0,7.25,14.625,close-open,1.2340721601997462,0.7700000000000001,0.6239505474909736,1.9,0.03,100.0,38.0,100,88,https://www.estimize.com/skx,"[0.73, 0.44, 0.06, 0.03, 1.9, 0.96, 1.27]"
64,64.0,64.0,64.0,TXRH,2022-02-15 18:00:00,2022-02-14 18:00:00,2022-02-10 18:00:00,2022-02-08 18:00:00,38,100.0,15.0,4.0,close-close,1.6150776337412234,1.6116666666666666,0.9978880476063212,2.91,-0.18,83.0,32.0,100,75,https://www.estimize.com/txrh,"[2.08, 0.98, 2.29, 2.91, -0.18, 1.59]"
65,65.0,65.0,65.0,COLM,2022-02-01 18:00:00,2022-01-31 18:00:00,2022-01-27 18:00:00,2022-01-25 18:00:00,38,100.0,12.25,33.0,close-open,0.6035789770092098,0.44625,0.739339866029149,1.55,-0.67,75.0,28.0,100,100,https://www.estimize.com/colm,"[0.65, -0.67, 1.55, 0.64, -0.44, 0.28, 1.41, 0.15]"
66,66.0,66.0,66.0,MHK,2022-02-08 18:00:00,2022-02-07 18:00:00,2022-02-03 18:00:00,2022-02-01 18:00:00,75,100.0,7.75,12.125,close-close,1.2112362371686576,1.57,1.296196358581523,3.21,-0.41,75.0,56.0,100,100,https://www.estimize.com/mhk,"[-0.41, 1.93, 1.39, 0.91, -0.13, 2.54, 3.12, 3.21]"
67,67.0,67.0,67.0,RCL,2022-02-20 18:00:00,2022-02-18 18:00:00,2022-02-16 18:00:00,2022-02-14 18:00:00,38,100.0,21.25,5.375,close-open,0.5599272687609452,1.16125,2.0739300705424,4.74,-1.8,62.0,24.0,100,100,https://www.estimize.com/rcl,"[4.74, 2.49, 1.9, 0.19, -0.89, 2.96, -1.8, -0.3]"
68,68.0,68.0,68.0,CHTR,2022-01-26 18:00:00,2022-01-25 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,62,100.0,8.0,3.25,open-close,0.2831029810429209,1.1262500000000002,3.978234336675003,6.28,-4.79,62.0,38.0,100,100,https://www.estimize.com/chtr,"[6.28, 3.44, -3.66, 5.32, -4.79, 2.32, 2.83, -2.73]"
69,69.0,69.0,69.0,NWL,2022-02-09 18:00:00,2022-02-08 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,88,100.0,7.75,24.25,open-open,-0.01976144166965924,-0.10874999999999996,5.503141006507104,9.4,-8.06,50.0,44.0,100,100,https://www.estimize.com/nwl,"[-3.66, -6.38, 3.69, 9.4, -8.06, 2.12, -1.71, 3.73]"
70,70.0,70.0,70.0,LEG,2022-02-06 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,88,100.0,12.0,9.0,close-close,0.6667335491581563,1.2,1.7998194353878951,4.29,-1.32,75.0,66.0,100,100,https://www.estimize.com/leg,"[-1.32, 0.92, -0.97, 4.29, 1.49, 2.48, 0.04, 2.67]"
71,71.0,71.0,71.0,CHGG,2022-02-06 18:00:00,2022-02-04 18:00:00,2022-02-02 18:00:00,2022-01-31 18:00:00,75,100.0,13.25,14.5,close-open,0.5862293320067254,0.9075,1.5480289887466585,4.48,-1.02,75.0,56.0,100,100,https://www.estimize.com/chgg,"[0.68, -1.02, 4.48, 0.31, 1.81, 0.86, -0.11, 0.25]"
