,name,link,earn_day,earn_date,earn_time
155,NLS,https://www.estimize.com/nls,MONDAY,2022-02-21,AMC
156,CRMT,https://www.estimize.com/crmt,MONDAY,2022-02-21,AMC
157,HD,https://www.estimize.com/hd,TUESDAY,2022-02-22,BMO
158,M,https://www.estimize.com/m,TUESDAY,2022-02-22,BMO
159,PZZA,https://www.estimize.com/pzza,TUESDAY,2022-02-22,BMO
160,GPC,https://www.estimize.com/gpc,TUESDAY,2022-02-22,BMO
161,AAN,https://www.estimize.com/aan,TUESDAY,2022-02-22,BMO
162,THRM,https://www.estimize.com/thrm,TUESDAY,2022-02-22,BMO
163,SAH,https://www.estimize.com/sah,TUESDAY,2022-02-22,BMO
164,SMP,https://www.estimize.com/smp,TUESDAY,2022-02-22,BMO
165,TXRH,https://www.estimize.com/txrh,TUESDAY,2022-02-22,AMC
166,AAP,https://www.estimize.com/aap,TUESDAY,2022-02-22,AMC
167,TOL,https://www.estimize.com/tol,TUESDAY,2022-02-22,AMC
168,LZB,https://www.estimize.com/lzb,TUESDAY,2022-02-22,AMC
169,MORN,https://www.estimize.com/morn,TUESDAY,2022-02-22,AMC
170,HVT,https://www.estimize.com/hvt,TUESDAY,2022-02-22,AMC
171,LOW,https://www.estimize.com/low,WEDNESDAY,2022-02-23,BMO
172,GRMN,https://www.estimize.com/grmn,WEDNESDAY,2022-02-23,BMO
173,DISH,https://www.estimize.com/dish,WEDNESDAY,2022-02-23,BMO
174,WWW,https://www.estimize.com/www,WEDNESDAY,2022-02-23,BMO
175,VIPS,https://www.estimize.com/vips,WEDNESDAY,2022-02-23,BMO
176,SBGI,https://www.estimize.com/sbgi,WEDNESDAY,2022-02-23,BMO
177,SIX,https://www.estimize.com/six,WEDNESDAY,2022-02-23,BMO
178,ODP,https://www.estimize.com/odp,WEDNESDAY,2022-02-23,BMO
179,DIN,https://www.estimize.com/din,WEDNESDAY,2022-02-23,BMO
180,FVRR,https://www.estimize.com/fvrr,WEDNESDAY,2022-02-23,BMO
181,AUD,https://www.estimize.com/aud,WEDNESDAY,2022-02-23,BMO
182,JACK,https://www.estimize.com/jack,WEDNESDAY,2022-02-23,AMC
183,BBWI,https://www.estimize.com/bbwi,WEDNESDAY,2022-02-23,AMC
184,CAKE,https://www.estimize.com/cake,WEDNESDAY,2022-02-23,AMC
185,RGR,https://www.estimize.com/rgr,WEDNESDAY,2022-02-23,AMC
186,RCII,https://www.estimize.com/rcii,WEDNESDAY,2022-02-23,AMC
187,ZVO,https://www.estimize.com/zvo,WEDNESDAY,2022-02-23,AMC
188,PRDO,https://www.estimize.com/prdo,WEDNESDAY,2022-02-23,AMC
189,MCRI,https://www.estimize.com/mcri,WEDNESDAY,2022-02-23,AMC
190,DPZ,https://www.estimize.com/dpz,THURSDAY,2022-02-24,BMO
191,WEN,https://www.estimize.com/wen,THURSDAY,2022-02-24,BMO
192,KSS,https://www.estimize.com/kss,THURSDAY,2022-02-24,BMO
193,IMAX,https://www.estimize.com/imax,THURSDAY,2022-02-24,BMO
194,NCLH,https://www.estimize.com/nclh,THURSDAY,2022-02-24,BMO
195,W,https://www.estimize.com/w,THURSDAY,2022-02-24,BMO
196,MLCO,https://www.estimize.com/mlco,THURSDAY,2022-02-24,BMO
197,VAC,https://www.estimize.com/vac,THURSDAY,2022-02-24,BMO
198,GCI,https://www.estimize.com/gci,THURSDAY,2022-02-24,BMO
199,AMCX,https://www.estimize.com/amcx,THURSDAY,2022-02-24,BMO
200,LKQ,https://www.estimize.com/lkq,THURSDAY,2022-02-24,BMO
201,CRI,https://www.estimize.com/cri,THURSDAY,2022-02-24,BMO
202,GIL,https://www.estimize.com/gil,THURSDAY,2022-02-24,BMO
203,VC,https://www.estimize.com/vc,THURSDAY,2022-02-24,BMO
204,SHYF,https://www.estimize.com/shyf,THURSDAY,2022-02-24,BMO
205,TMX,https://www.estimize.com/tmx,THURSDAY,2022-02-24,BMO
206,MCS,https://www.estimize.com/mcs,THURSDAY,2022-02-24,BMO
207,HMHC,https://www.estimize.com/hmhc,THURSDAY,2022-02-24,BMO
208,ESCA,https://www.estimize.com/esca,THURSDAY,2022-02-24,BMO
209,IQ,https://www.estimize.com/iq,THURSDAY,2022-02-24,BMO
210,ROKU,https://www.estimize.com/roku,THURSDAY,2022-02-24,AMC
211,BJRI,https://www.estimize.com/bjri,THURSDAY,2022-02-24,AMC
212,SGMS,https://www.estimize.com/sgms,THURSDAY,2022-02-24,AMC
213,JAKK,https://www.estimize.com/jakk,THURSDAY,2022-02-24,AMC
214,LYV,https://www.estimize.com/lyv,THURSDAY,2022-02-24,AMC
215,NDLS,https://www.estimize.com/ndls,THURSDAY,2022-02-24,AMC
216,CZR,https://www.estimize.com/czr,THURSDAY,2022-02-24,AMC
217,ABNB,https://www.estimize.com/abnb,THURSDAY,2022-02-24,AMC
218,NCMI,https://www.estimize.com/ncmi,THURSDAY,2022-02-24,AMC
219,FND,https://www.estimize.com/fnd,THURSDAY,2022-02-24,AMC
220,DASH,https://www.estimize.com/dash,THURSDAY,2022-02-24,AMC
221,FL,https://www.estimize.com/fl,FRIDAY,2022-02-25,BMO
222,RUTH,https://www.estimize.com/ruth,FRIDAY,2022-02-25,BMO
223,CNK,https://www.estimize.com/cnk,FRIDAY,2022-02-25,BMO
224,DKNG,https://www.estimize.com/dkng,FRIDAY,2022-02-25,BMO
225,MGA,https://www.estimize.com/mga,FRIDAY,2022-02-25,BMO
226,SSP,https://www.estimize.com/ssp,FRIDAY,2022-02-25,BMO
227,DORM,https://www.estimize.com/dorm,MONDAY,2022-02-28,BMO
228,SHAK,https://www.estimize.com/shak,MONDAY,2022-02-28,AMC
229,FRGI,https://www.estimize.com/frgi,MONDAY,2022-02-28,AMC
230,AZO,https://www.estimize.com/azo,TUESDAY,2022-03-01,BMO
231,DISCA,https://www.estimize.com/disca,TUESDAY,2022-03-01,BMO
232,SEAS,https://www.estimize.com/seas,TUESDAY,2022-03-01,BMO
233,LL,https://www.estimize.com/ll,TUESDAY,2022-03-01,BMO
234,NXST,https://www.estimize.com/nxst,TUESDAY,2022-03-01,BMO
235,PLNT,https://www.estimize.com/plnt,TUESDAY,2022-03-01,BMO
236,SHOO,https://www.estimize.com/shoo,TUESDAY,2022-03-01,BMO
237,LGIH,https://www.estimize.com/lgih,TUESDAY,2022-03-01,BMO
238,BLD,https://www.estimize.com/bld,TUESDAY,2022-03-01,BMO
239,JMIA,https://www.estimize.com/jmia,TUESDAY,2022-03-01,BMO
240,STGW,https://www.estimize.com/stgw,TUESDAY,2022-03-01,BMO
241,ROST,https://www.estimize.com/rost,TUESDAY,2022-03-01,AMC
242,WW,https://www.estimize.com/ww,TUESDAY,2022-03-01,AMC
243,BGFV,https://www.estimize.com/bgfv,TUESDAY,2022-03-01,AMC
244,RRGB,https://www.estimize.com/rrgb,TUESDAY,2022-03-01,AMC
245,CHUY,https://www.estimize.com/chuy,TUESDAY,2022-03-01,AMC
246,TA,https://www.estimize.com/ta,TUESDAY,2022-03-01,AMC
247,FOXF,https://www.estimize.com/foxf,TUESDAY,2022-03-01,AMC
248,APEI,https://www.estimize.com/apei,TUESDAY,2022-03-01,AMC
249,RVLV,https://www.estimize.com/rvlv,TUESDAY,2022-03-01,AMC
250,GIC,https://www.estimize.com/gic,TUESDAY,2022-03-01,AMC
251,REAL,https://www.estimize.com/real,TUESDAY,2022-03-01,AMC
252,ATUS,https://www.estimize.com/atus,TUESDAY,2022-03-01,AMC
253,BBY,https://www.estimize.com/bby,WEDNESDAY,2022-03-02,BMO
254,ANF,https://www.estimize.com/anf,WEDNESDAY,2022-03-02,BMO
255,TJX,https://www.estimize.com/tjx,WEDNESDAY,2022-03-02,BMO
256,DLTR,https://www.estimize.com/dltr,WEDNESDAY,2022-03-02,BMO
257,AEO,https://www.estimize.com/aeo,WEDNESDAY,2022-03-02,BMO
258,TAST,https://www.estimize.com/tast,WEDNESDAY,2022-03-02,BMO
259,CROX,https://www.estimize.com/crox,WEDNESDAY,2022-03-02,BMO
260,CHS,https://www.estimize.com/chs,WEDNESDAY,2022-03-02,BMO
261,STLA,https://www.estimize.com/stla,WEDNESDAY,2022-03-02,BMO
262,TOUR,https://www.estimize.com/tour,WEDNESDAY,2022-03-02,BMO
263,HZN,https://www.estimize.com/hzn,WEDNESDAY,2022-03-02,BMO
264,ATHM,https://www.estimize.com/athm,WEDNESDAY,2022-03-02,BMO
265,HGV,https://www.estimize.com/hgv,WEDNESDAY,2022-03-02,BMO
266,EYE,https://www.estimize.com/eye,WEDNESDAY,2022-03-02,BMO
267,BKNG,https://www.estimize.com/bkng,WEDNESDAY,2022-03-02,AMC
268,CHDN,https://www.estimize.com/chdn,WEDNESDAY,2022-03-02,AMC
269,CULP,https://www.estimize.com/culp,WEDNESDAY,2022-03-02,AMC
270,SRI,https://www.estimize.com/sri,WEDNESDAY,2022-03-02,AMC
271,CVNA,https://www.estimize.com/cvna,WEDNESDAY,2022-03-02,AMC
272,FTDR,https://www.estimize.com/ftdr,WEDNESDAY,2022-03-02,AMC
273,VRM,https://www.estimize.com/vrm,WEDNESDAY,2022-03-02,AMC
274,CABO,https://www.estimize.com/cabo,WEDNESDAY,2022-03-02,AMC
275,JD,https://www.estimize.com/jd,THURSDAY,2022-03-03,BMO
276,WING,https://www.estimize.com/wing,THURSDAY,2022-03-03,BMO
277,CCO,https://www.estimize.com/cco,THURSDAY,2022-03-03,BMO
278,BURL,https://www.estimize.com/burl,THURSDAY,2022-03-03,BMO
279,GTN,https://www.estimize.com/gtn,THURSDAY,2022-03-03,BMO
280,GOLF,https://www.estimize.com/golf,THURSDAY,2022-03-03,BMO
281,JW-A,https://www.estimize.com/jw-a,THURSDAY,2022-03-03,BMO
282,IEP,https://www.estimize.com/iep,THURSDAY,2022-03-03,BMO
283,GLBE,https://www.estimize.com/glbe,THURSDAY,2022-03-03,BMO
284,SWBI,https://www.estimize.com/swbi,THURSDAY,2022-03-03,AMC
285,JWN,https://www.estimize.com/jwn,THURSDAY,2022-03-03,AMC
286,GPS,https://www.estimize.com/gps,THURSDAY,2022-03-03,AMC
287,AMC,https://www.estimize.com/amc,THURSDAY,2022-03-03,AMC
288,FTCH,https://www.estimize.com/ftch,THURSDAY,2022-03-03,AMC
289,BIG,https://www.estimize.com/big,FRIDAY,2022-03-04,BMO
290,SUP,https://www.estimize.com/sup,FRIDAY,2022-03-04,BMO
291,STRA,https://www.estimize.com/stra,FRIDAY,2022-03-04,BMO
292,HMTV,https://www.estimize.com/hmtv,FRIDAY,2022-03-04,BMO
293,THO,https://www.estimize.com/tho,MONDAY,2022-03-07,BMO
294,XPEV,https://www.estimize.com/xpev,MONDAY,2022-03-07,BMO
295,WISH,https://www.estimize.com/wish,MONDAY,2022-03-07,AMC
296,TGT,https://www.estimize.com/tgt,TUESDAY,2022-03-08,BMO
297,DKS,https://www.estimize.com/dks,TUESDAY,2022-03-08,BMO
298,PLCE,https://www.estimize.com/plce,TUESDAY,2022-03-08,BMO
299,URBN,https://www.estimize.com/urbn,TUESDAY,2022-03-08,AMC
300,HRB,https://www.estimize.com/hrb,TUESDAY,2022-03-08,AMC
301,NIO,https://www.estimize.com/nio,TUESDAY,2022-03-08,AMC
302,EXPR,https://www.estimize.com/expr,WEDNESDAY,2022-03-09,BMO
303,VRA,https://www.estimize.com/vra,WEDNESDAY,2022-03-09,BMO
304,PRTY,https://www.estimize.com/prty,THURSDAY,2022-03-10,BMO
305,HOV,https://www.estimize.com/hov,THURSDAY,2022-03-10,BMO
306,IGT,https://www.estimize.com/igt,THURSDAY,2022-03-10,BMO
307,ULTA,https://www.estimize.com/ulta,THURSDAY,2022-03-10,AMC
308,ZUMZ,https://www.estimize.com/zumz,THURSDAY,2022-03-10,AMC
309,MTN,https://www.estimize.com/mtn,THURSDAY,2022-03-10,AMC
310,LOCO,https://www.estimize.com/loco,THURSDAY,2022-03-10,AMC
311,CWH,https://www.estimize.com/cwh,THURSDAY,2022-03-10,AMC
312,MED,https://www.estimize.com/med,THURSDAY,2022-03-10,AMC
313,EVC,https://www.estimize.com/evc,THURSDAY,2022-03-10,AMC
314,HIBB,https://www.estimize.com/hibb,FRIDAY,2022-03-11,BMO
315,BKE,https://www.estimize.com/bke,FRIDAY,2022-03-11,BMO
316,GCO,https://www.estimize.com/gco,FRIDAY,2022-03-11,BMO
317,KIRK,https://www.estimize.com/kirk,FRIDAY,2022-03-11,BMO
318,CLAR,https://www.estimize.com/clar,MONDAY,2022-03-14,AMC
319,SFIX,https://www.estimize.com/sfix,MONDAY,2022-03-14,AMC
320,TLYS,https://www.estimize.com/tlys,MONDAY,2022-03-14,AMC
321,DBI,https://www.estimize.com/dbi,TUESDAY,2022-03-15,BMO
322,HTHT,https://www.estimize.com/htht,TUESDAY,2022-03-15,BMO
323,TSQ,https://www.estimize.com/tsq,TUESDAY,2022-03-15,BMO
324,CAL,https://www.estimize.com/cal,TUESDAY,2022-03-15,AMC
325,PDD,https://www.estimize.com/pdd,WEDNESDAY,2022-03-16,BMO
326,PRPL,https://www.estimize.com/prpl,WEDNESDAY,2022-03-16,BMO
327,TCOM,https://www.estimize.com/tcom,WEDNESDAY,2022-03-16,AMC
328,WSM,https://www.estimize.com/wsm,WEDNESDAY,2022-03-16,AMC
329,JILL,https://www.estimize.com/jill,WEDNESDAY,2022-03-16,AMC
330,TACO,https://www.estimize.com/taco,WEDNESDAY,2022-03-16,AMC
331,DG,https://www.estimize.com/dg,THURSDAY,2022-03-17,BMO
332,SIG,https://www.estimize.com/sig,THURSDAY,2022-03-17,BMO
333,CATO,https://www.estimize.com/cato,THURSDAY,2022-03-17,BMO
334,OSTK,https://www.estimize.com/ostk,FRIDAY,2022-03-18,BMO
335,CTRN,https://www.estimize.com/ctrn,FRIDAY,2022-03-18,BMO
336,VUZI,https://www.estimize.com/vuzi,FRIDAY,2022-03-18,AMC
337,TME,https://www.estimize.com/tme,MONDAY,2022-03-21,AMC
338,ACEL,https://www.estimize.com/acel,MONDAY,2022-03-21,AMC
339,LE,https://www.estimize.com/le,TUESDAY,2022-03-22,BMO
340,HUYA,https://www.estimize.com/huya,TUESDAY,2022-03-22,BMO
341,NKE,https://www.estimize.com/nke,TUESDAY,2022-03-22,AMC
342,GES,https://www.estimize.com/ges,WEDNESDAY,2022-03-23,BMO
343,WGO,https://www.estimize.com/wgo,WEDNESDAY,2022-03-23,BMO
344,KBH,https://www.estimize.com/kbh,WEDNESDAY,2022-01-12,AMC
345,FIVE,https://www.estimize.com/five,WEDNESDAY,2022-03-23,AMC
346,DRI,https://www.estimize.com/dri,THURSDAY,2022-03-24,BMO
347,GIII,https://www.estimize.com/giii,THURSDAY,2022-03-24,BMO
348,DOOO,https://www.estimize.com/dooo,THURSDAY,2022-03-24,BMO
349,GME,https://www.estimize.com/gme,THURSDAY,2022-03-24,AMC
350,OXM,https://www.estimize.com/oxm,THURSDAY,2022-03-24,AMC
351,SCHL,https://www.estimize.com/schl,THURSDAY,2022-03-24,AMC
352,MOV,https://www.estimize.com/mov,FRIDAY,2022-03-25,BMO
353,CCL,https://www.estimize.com/ccl,TUESDAY,2022-03-29,BMO
354,SCVL,https://www.estimize.com/scvl,TUESDAY,2022-03-29,BMO
355,CONN,https://www.estimize.com/conn,TUESDAY,2022-03-29,BMO
356,RH,https://www.estimize.com/rh,TUESDAY,2022-03-29,AMC
357,PLAY,https://www.estimize.com/play,TUESDAY,2022-03-29,AMC
358,CHWY,https://www.estimize.com/chwy,TUESDAY,2022-03-29,AMC
359,LULU,https://www.estimize.com/lulu,WEDNESDAY,2022-03-30,AMC
360,LEN,https://www.estimize.com/len,WEDNESDAY,2022-03-30,AMC
361,PVH,https://www.estimize.com/pvh,WEDNESDAY,2022-03-30,AMC
362,SPWH,https://www.estimize.com/spwh,WEDNESDAY,2022-03-30,AMC
363,BSET,https://www.estimize.com/bset,THURSDAY,2022-01-20,BMO
