,name,link
456,GO,https://www.estimize.com/go
457,COKE,https://www.estimize.com/coke
458,ENR,https://www.estimize.com/enr
459,STKL,https://www.estimize.com/stkl
460,PFGC,https://www.estimize.com/pfgc
461,BYND,https://www.estimize.com/bynd
462,SPTN,https://www.estimize.com/sptn
463,EPC,https://www.estimize.com/epc
464,CELH,https://www.estimize.com/celh
465,FLO,https://www.estimize.com/flo
466,SPB,https://www.estimize.com/spb
467,TSN,https://www.estimize.com/tsn
468,DFODQ,https://www.estimize.com/dfodq
469,JJSF,https://www.estimize.com/jjsf
470,WMT,https://www.estimize.com/wmt
471,BJ,https://www.estimize.com/bj
472,NGVC,https://www.estimize.com/ngvc
473,POST,https://www.estimize.com/post
474,BRBR,https://www.estimize.com/brbr
475,CENT,https://www.estimize.com/cent
476,SJM,https://www.estimize.com/sjm
477,KR,https://www.estimize.com/kr
478,CASY,https://www.estimize.com/casy
479,CPB,https://www.estimize.com/cpb
480,UNFI,https://www.estimize.com/unfi
481,HRL,https://www.estimize.com/hrl
482,FIZZ,https://www.estimize.com/fizz
483,COST,https://www.estimize.com/cost
484,IMKTA,https://www.estimize.com/imkta
485,CVGW,https://www.estimize.com/cvgw
486,GIS,https://www.estimize.com/gis
487,RAD,https://www.estimize.com/rad
488,FGP,https://www.estimize.com/fgp
489,GLOG,https://www.estimize.com/glog
490,HAL,https://www.estimize.com/hal
491,BKR,https://www.estimize.com/bkr
492,KMI,https://www.estimize.com/kmi
493,FTI,https://www.estimize.com/fti
494,HLX,https://www.estimize.com/hlx
495,VLO,https://www.estimize.com/vlo
496,EQM,https://www.estimize.com/eqm
497,SLB,https://www.estimize.com/slb
498,SPNX,https://www.estimize.com/spnx
499,ARLP,https://www.estimize.com/arlp
500,CEQP,https://www.estimize.com/ceqp
501,NOV,https://www.estimize.com/nov
502,RRC,https://www.estimize.com/rrc
503,NBR,https://www.estimize.com/nbr
504,MTDR,https://www.estimize.com/mtdr
505,CXO,https://www.estimize.com/cxo
506,NBL,https://www.estimize.com/nbl
507,RES,https://www.estimize.com/res
508,HES,https://www.estimize.com/hes
509,TGE,https://www.estimize.com/tge
510,OII,https://www.estimize.com/oii
511,CLB,https://www.estimize.com/clb
512,SU,https://www.estimize.com/su
513,NE,https://www.estimize.com/ne
514,WLL,https://www.estimize.com/wll
515,HOS,https://www.estimize.com/hos
516,AR,https://www.estimize.com/ar
517,EQT,https://www.estimize.com/eqt
518,QEP,https://www.estimize.com/qep
519,CNX,https://www.estimize.com/cnx
520,PTEN,https://www.estimize.com/pten
521,PBF,https://www.estimize.com/pbf
522,SM,https://www.estimize.com/sm
523,DRQ,https://www.estimize.com/drq
524,MR,https://www.estimize.com/mr
525,INT,https://www.estimize.com/int
526,ASPN,https://www.estimize.com/aspn
527,CRC,https://www.estimize.com/crc
528,XOM,https://www.estimize.com/xom
529,CVX,https://www.estimize.com/cvx
530,PSX,https://www.estimize.com/psx
531,PSXP,https://www.estimize.com/psxp
532,CCJ,https://www.estimize.com/ccj
533,CIVI,https://www.estimize.com/civi
534,IMO,https://www.estimize.com/imo
535,DO,https://www.estimize.com/do
536,OIS,https://www.estimize.com/ois
537,RIG,https://www.estimize.com/rig
538,WMB,https://www.estimize.com/wmb
539,FANG,https://www.estimize.com/fang
540,CRZO,https://www.estimize.com/crzo
541,TTI,https://www.estimize.com/tti
542,GTE,https://www.estimize.com/gte
543,MDR,https://www.estimize.com/mdr
544,COP,https://www.estimize.com/cop
545,MPC,https://www.estimize.com/mpc
546,EPD,https://www.estimize.com/epd
547,MMP,https://www.estimize.com/mmp
548,MPLX,https://www.estimize.com/mplx
549,HEP,https://www.estimize.com/hep
550,ICD,https://www.estimize.com/icd
551,DVN,https://www.estimize.com/dvn
552,OVV,https://www.estimize.com/ovv
553,DHT,https://www.estimize.com/dht
554,WTI,https://www.estimize.com/wti
555,CRK,https://www.estimize.com/crk
556,LPI,https://www.estimize.com/lpi
557,NR,https://www.estimize.com/nr
558,PAA,https://www.estimize.com/paa
559,PAGP,https://www.estimize.com/pagp
560,PUMP,https://www.estimize.com/pump
561,DCP,https://www.estimize.com/dcp
562,VAL,https://www.estimize.com/val
563,COG,https://www.estimize.com/cog
564,HFC,https://www.estimize.com/hfc
565,CVIA,https://www.estimize.com/cvia
566,CTRA,https://www.estimize.com/ctra
567,CVE,https://www.estimize.com/cve
568,MRO,https://www.estimize.com/mro
569,APA,https://www.estimize.com/apa
570,PXD,https://www.estimize.com/pxd
571,SRCI,https://www.estimize.com/srci
572,SWN,https://www.estimize.com/swn
573,CLR,https://www.estimize.com/clr
574,WPX,https://www.estimize.com/wpx
575,CPE,https://www.estimize.com/cpe
576,ET,https://www.estimize.com/et
577,TALO,https://www.estimize.com/talo
