,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
55,TLGTQ,Teligent Inc (NEW JERSEY),2021-12-29T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
56,VPRIF,Vitality Products Inc,2021-12-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
57,NEW,Puxin Ltd,2021-12-29T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
58,CVU,CPI Aerostructures Inc,2021-12-30T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
59,NOBDF,North Bud Farms Inc,2021-12-31T19:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
60,HSCHF,H-Source Holdings Ltd,2021-12-31T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
61,HSCHF,H-Source Holdings Ltd,2021-12-31T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
62,HSCHF,H-Source Holdings Ltd,2021-12-31T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
63,HSCHF,H-Source Holdings Ltd,2021-12-31T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
64,CVU,CPI Aerostructures Inc,2022-01-03T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
65,ICNAF,Icanic Brands Company Inc,2022-01-03T13:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
66,PCYO,Pure Cycle Corp,2022-01-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
67,NATI,National Instruments Corp,2022-01-03T10:59:00.000Z,TNS,0.2,,,EST,-18000000,EQUITY
68,CETX,Cemtrex Inc,2022-01-03T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
69,FPF,First Trust Intermediate Duration Preferred & Income Fund,2022-01-03T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
70,JEF,Jefferies Financial Group Inc,2022-01-03T21:00:00.000Z,AMC,1.31,,,EST,-18000000,EQUITY
71,GROW,US Global Investors Inc,2022-01-03T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
72,LNDC,Landec Corp,2022-01-04T21:00:00.000Z,AMC,-0.07,,,EST,-18000000,EQUITY
73,GBX,Greenbrier Companies Inc,2022-01-04T13:30:00.000Z,BMO,0.21,,,EST,-18000000,EQUITY
74,CHSCP,CHS Inc,2022-01-04T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
75,RELL,Richardson Electronics Ltd,2022-01-04T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
76,SGH,"SMART Global Holdings, Inc.",2022-01-04T21:00:00.000Z,AMC,2.0,,,EST,-18000000,EQUITY
77,MLKN,MillerKnoll Inc,2022-01-04T21:00:00.000Z,AMC,0.57,,,EST,-18000000,EQUITY
78,AEHR,Aehr Test Systems,2022-01-05T21:00:00.000Z,AMC,0.04,,,EST,-18000000,EQUITY
79,PKE,Park Aerospace Corp,2022-01-05T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
80,LNDC,Landec Corp,2022-01-05T21:00:00.000Z,AMC,-0.07,,,EST,-18000000,EQUITY
81,CCF,Chase Corp,2022-01-05T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
82,CSVI,Computer Services Inc,2022-01-05T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
